Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,116,95,195,"18,58","0,000%","32,32062","64,03","12,78","2028,6"
TOTAL,100,116,95,195,"18,58","0,000%","32,32062","64,03","12,78","2028,6"
