Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,33535,5633,72449,"13471,97","0,100%","13,25241","26,26","5,24","2028,8"
TOTAL,1000,33535,5633,72449,"13471,97","0,100%","13,25241","26,26","5,24","2028,8"
