Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,112,96,134,"11,21","0,000%","3,56761","7,09","1,41","2033,6"
TOTAL,10,112,96,134,"11,21","0,000%","3,56761","7,09","1,41","2033,6"
